,data,t_media,dayname,somma_polli,feste,fenomeni,Chievo,Hellas,Inter,Italia,Juventus,Lazio,Milan,Napoli
78,2015-04-01,13,mercoledì,15,0,nebbia ,0,0,0,0,0,0,0,0
79,2015-04-02,12,giovedì,16,0,sole,0,0,0,0,0,0,0,0
80,2015-04-03,11,venerdì,14,0,sole,0,0,0,0,0,0,0,0
81,2015-04-04,10,sabato,17,0,sole,1,0,1,0,1,1,1,1
82,2015-04-05,9,domenica,5,Pasqua,pioggia ,0,0,0,0,0,0,0,0
83,2015-04-07,10,martedì,8,0,sole,0,0,0,0,0,0,0,0
84,2015-04-08,11,mercoledì,15,0,sole,0,0,0,0,0,0,0,0
85,2015-04-09,13,giovedì,12,0,sole,0,0,0,0,0,0,0,0
86,2015-04-10,14,venerdì,19,0,sole,0,0,1,0,1,1,1,1
87,2015-04-11,13,sabato,27,0,sole,0,0,0,0,0,0,0,0
88,2015-04-12,15,domenica,28,0,nebbia ,0,0,0,0,1,1,0,0
89,2015-04-14,17,martedì,17,0,sole,0,0,0,0,0,0,0,0
90,2015-04-15,18,mercoledì,17,0,sole,0,0,0,0,0,0,0,0
91,2015-04-16,17,giovedì,18,0,pioggia ,0,0,0,0,0,0,0,0
92,2015-04-17,15,venerdì,25,0,pioggia ,0,0,0,0,0,0,0,0
93,2015-04-18,13,sabato,40,0,pioggia temporale nebbia ,0,0,0,0,1,1,0,0
94,2015-04-19,11,domenica,25,0,sole,1,0,1,0,0,0,1,1
95,2015-04-21,16,martedì,21,0,sole,0,0,0,0,0,0,0,0
96,2015-04-22,18,mercoledì,17,0,sole,0,0,0,0,0,0,0,0
97,2015-04-23,17,giovedì,19,0,sole,0,0,0,0,0,0,0,0
98,2015-04-24,16,venerdì,29,0,sole,0,0,0,0,0,0,0,0
99,2015-04-25,15,sabato,36,Anniversario della Liberazione,pioggia ,0,0,1,0,0,0,1,0
100,2015-04-26,16,domenica,27,0,pioggia ,1,0,0,0,1,1,0,1
101,2015-04-28,16,martedì,26,0,pioggia ,0,0,1,0,0,0,0,0
