date,team1,team2,score,championship
2012-01-09,Bologna,Milan,1-3,A
2012-01-09,Torino,Pescara,3-0,A
2012-01-09,Ternana,Modena,0-1,B
2012-01-09,Lanciano,Varese,1-2,B
2012-01-09,Reggina,Pro Vercelli,1-0,B
2012-01-09,Verona,Spezia,1-1,B
2012-01-09,Ascoli,Bari,1-3,B
2012-01-09,Novara,Empoli,2-2,B
2012-01-09,Sassuolo,Crotone,2-1,B
2012-01-09,Brescia,Juve Stabia,2-0,B
2012-01-09,Cittadella,Grosseto,2-1,B
2012-01-09,Vicenza,Cesena,3-1,B
2012-01-10,Cesena,Varese,2-0,B
2012-01-10,Cittadella,Pro Vercelli,3-0,B
2012-01-11,Genoa,Fiorentina,0-1,A
2012-01-12,Juventus,Torino,3-0,A
2012-01-12,Juve Stabia,Cittadella,1-1,B
2012-01-12,Modena,Novara,1-0,B
2012-01-12,Padova,Ascoli,1-1,B
2012-01-12,Varese,Ternana,1-0,B
2012-01-12,Brescia,Verona,2-0,B
2012-01-12,Empoli,Spezia,2-2,B
2012-01-12,Pro Vercelli,Vicenza,2-1,B
2012-01-12,Bari,Sassuolo,3-3,B
2012-01-12,Lanciano,Cesena,3-3,B
2012-01-12,Livorno,Grosseto,4-0,B
2012-02-09,Udinese,Juventus,1-4,A
2012-02-09,Inter,Roma,1-3,A
2012-02-09,Cagliari,Atalanta,1-1,A
2012-02-09,Napoli,Fiorentina,2-1,A
2012-02-09,Sampdoria,Siena,2-1,A
2012-02-09,Parma,Chievo,2-0,A
2012-02-09,Catania,Genoa,3-2,A
2012-02-09,Lazio,Palermo,3-0,A
2012-02-12,Siena,Roma,1-3,A
2012-02-12,Inter,Palermo,1-0,A
2012-02-12,Lazio,Parma,2-1,A
2012-02-12,Fiorentina,Sampdoria,2-2,A
2012-02-12,Bologna,Atalanta,2-1,A
2012-02-12,Genoa,Chievo,2-4,A
2012-02-12,Udinese,Cagliari,4-1,A
2012-02-12,Napoli,Pescara,5-1,A
2012-03-09,Livorno,Padova,3-2,B
2012-03-11,Juventus,Inter,1-3,A
2012-03-11,Milan,Chievo,5-1,A
2012-03-11,Vicenza,Lanciano,0-1,B
2012-03-11,Novara,Cittadella,0-1,B
2012-03-11,Padova,Cesena,1-1,B
2012-03-11,Reggina,Varese,1-1,B
2012-03-11,Brescia,Ternana,1-0,B
2012-03-11,Livorno,Bari,2-1,B
2012-03-11,Spezia,Crotone,2-1,B
2012-03-11,Grosseto,Ascoli,2-1,B
2012-03-11,Empoli,Pro Vercelli,2-1,B
2012-03-12,Reggina,Crotone,1-1,B
2012-04-11,Bologna,Udinese,1-1,A
2012-04-11,Napoli,Torino,1-1,A
2012-04-11,Siena,Genoa,1-0,A
2012-04-11,Sampdoria,Atalanta,1-2,A
2012-04-11,Pescara,Parma,2-0,A
2012-04-11,Fiorentina,Cagliari,4-1,A
2012-04-11,Catania,Lazio,4-0,A
2012-04-11,Roma,Palermo,4-1,A
2012-05-10,Padova,Verona,2-1,B
2012-05-11,Modena,Juve Stabia,1-0,B
2012-05-11,Verona,Sassuolo,1-0,B
2012-06-10,Genoa,Palermo,1-1,A
2012-06-10,Chievo,Sampdoria,2-1,A
2012-06-10,Grosseto,Sassuolo,1-2,B
2012-06-10,Bari,Vicenza,1-0,B
2012-06-10,Reggina,Novara,1-0,B
2012-06-10,Pro Vercelli,Juve Stabia,1-4,B
2012-06-10,Varese,Empoli,2-2,B
2012-06-10,Ascoli,Crotone,2-0,B
2012-06-10,Brescia,Lanciano,2-0,B
2012-06-10,Ternana,Cittadella,3-1,B
2012-06-10,Modena,Cesena,4-0,B
2012-07-10,Milan,Inter,0-1,A
2012-07-10,Torino,Cagliari,0-1,A
2012-07-10,Pescara,Lazio,0-3,A
2012-07-10,Fiorentina,Bologna,1-0,A
2012-07-10,Siena,Juventus,1-2,A
2012-07-10,Catania,Parma,2-0,A
2012-07-10,Napoli,Udinese,2-1,A
2012-07-10,Roma,Atalanta,2-0,A
2012-07-12,Sassuolo,Modena,2-0,B
2012-08-09,Modena,Varese,1-2,B
2012-08-09,Verona,Reggina,2-0,B
2012-08-10,Livorno,Spezia,1-5,B
2012-08-12,Atalanta,Parma,2-1,A
2012-08-12,Roma,Fiorentina,4-2,A
2012-08-12,Crotone,Lanciano,0-0,B
2012-08-12,Brescia,Reggina,2-2,B
2012-08-12,Grosseto,Pro Vercelli,3-0,B
2012-08-12,Vicenza,Livorno,3-3,B
2012-08-12,Novara,Padova,3-1,B
2012-08-12,Ternana,Juve Stabia,3-2,B
2012-08-12,Verona,Ascoli,3-1,B
2012-08-12,Spezia,Bari,3-2,B
2012-08-24,Modena,Verona,1-1,B
2012-08-25,Fiorentina,Udinese,2-1,A
2012-08-25,Juventus,Parma,2-0,A
2012-08-25,Pro Vercelli,Ternana,1-0,B
2012-08-25,Padova,Lanciano,1-1,B
2012-08-25,Juve Stabia,Livorno,1-3,B
2012-08-25,Grosseto,Novara,1-1,B
2012-08-25,Crotone,Brescia,1-0,B
2012-08-25,Empoli,Reggina,1-1,B
2012-08-25,Varese,Ascoli,2-0,B
2012-08-25,Bari,Cittadella,2-1,B
2012-08-25,Spezia,Vicenza,2-1,B
2012-08-26,Milan,Sampdoria,0-1,A
2012-08-26,Siena,Torino,0-0,A
2012-08-26,Pescara,Inter,0-3,A
2012-08-26,Palermo,Napoli,0-3,A
2012-08-26,Atalanta,Lazio,0-1,A
2012-08-26,Roma,Catania,2-2,A
2012-08-26,Genoa,Cagliari,2-0,A
2012-08-26,Chievo,Bologna,2-0,A
2012-08-27,Cesena,Sassuolo,0-3,B
2012-09-09,Empoli,Sassuolo,0-3,B
2012-09-09,Pro Vercelli,Livorno,1-2,B
2012-09-09,Juve Stabia,Vicenza,1-1,B
2012-09-09,Padova,Grosseto,1-1,B
2012-09-09,Lanciano,Ascoli,1-1,B
2012-09-09,Cesena,Novara,1-4,B
2012-09-09,Bari,Ternana,2-0,B
2012-09-09,Crotone,Cittadella,3-1,B
2012-09-09,Spezia,Brescia,3-1,B
2012-09-11,Grosseto,Spezia,1-1,B
2012-09-12,Palermo,Juventus,0-1,A
2012-09-12,Cagliari,Chievo,0-2,A
2012-09-12,Siena,Catania,1-3,A
2012-09-12,Inter,Napoli,2-1,A
2012-09-12,Pescara,Genoa,2-0,A
2012-09-12,Torino,Milan,2-4,A
2012-09-12,Cittadella,Varese,0-1,B
2012-09-12,Cesena,Empoli,1-3,B
2012-09-14,Brescia,Padova,0-0,B
2012-09-15,Milan,Atalanta,0-1,A
2012-09-15,Palermo,Cagliari,1-1,A
2012-09-15,Ternana,Cesena,0-0,B
2012-09-15,Novara,Juve Stabia,1-1,B
2012-09-15,Cittadella,Lanciano,1-0,B
2012-09-15,Grosseto,Crotone,1-0,B
2012-09-15,Sassuolo,Pro Vercelli,2-1,B
2012-09-15,Reggina,Modena,2-2,B
2012-09-15,Vicenza,Verona,2-3,B
2012-09-15,Ascoli,Spezia,2-0,B
2012-09-15,Livorno,Empoli,4-2,B
2012-09-16,Torino,Inter,0-2,A
2012-09-16,Genoa,Juventus,1-3,A
2012-09-16,Chievo,Lazio,1-3,A
2012-09-16,Fiorentina,Catania,2-0,A
2012-09-16,Siena,Udinese,2-2,A
2012-09-16,Roma,Bologna,2-3,A
2012-09-16,Pescara,Sampdoria,2-3,A
2012-09-16,Napoli,Parma,3-1,A
2012-09-17,Varese,Bari,2-2,B
2012-09-21,Empoli,Ternana,0-2,B
2012-09-21,Verona,Novara,1-1,B
2012-09-22,Parma,Fiorentina,1-1,A
2012-09-22,Juventus,Chievo,2-0,A
2012-09-22,Spezia,Sassuolo,0-2,B
2012-09-22,Crotone,Bari,0-0,B
2012-09-22,Juve Stabia,Varese,1-2,B
2012-09-22,Cesena,Cittadella,1-0,B
2012-09-22,Modena,Livorno,1-0,B
2012-09-22,Lanciano,Grosseto,1-1,B
2012-09-22,Vicenza,Brescia,2-2,B
2012-09-22,Padova,Reggina,3-2,B
2012-09-22,Pro Vercelli,Ascoli,3-1,B
2012-09-23,Inter,Siena,0-2,A
2012-09-23,Cagliari,Roma,0-3,A
2012-09-23,Catania,Napoli,0-0,A
2012-09-23,Lazio,Genoa,0-1,A
2012-09-23,Bologna,Pescara,1-1,A
2012-09-23,Atalanta,Palermo,1-0,A
2012-09-23,Sampdoria,Torino,1-1,A
2012-09-23,Udinese,Milan,2-1,A
2012-09-25,Fiorentina,Juventus,0-0,A
2012-09-25,Varese,Verona,0-3,B
2012-09-25,Sassuolo,Vicenza,0-0,B
2012-09-25,Reggina,Lanciano,0-1,B
2012-09-25,Ascoli,Cesena,1-0,B
2012-09-25,Ternana,Crotone,1-0,B
2012-09-25,Novara,Spezia,1-0,B
2012-09-25,Bari,Pro Vercelli,2-1,B
2012-09-25,Padova,Empoli,2-0,B
2012-09-25,Livorno,Cittadella,2-2,B
2012-09-25,Grosseto,Juve Stabia,2-2,B
2012-09-25,Brescia,Modena,2-1,B
2012-09-26,Torino,Udinese,0-0,A
2012-09-26,Chievo,Inter,0-2,A
2012-09-26,Genoa,Parma,1-1,A
2012-09-26,Roma,Sampdoria,1-1,A
2012-09-26,Pescara,Palermo,1-0,A
2012-09-26,Milan,Cagliari,2-0,A
2012-09-26,Catania,Atalanta,2-1,A
2012-09-26,Napoli,Lazio,3-0,A
2012-09-27,Siena,Bologna,1-0,A
2012-09-29,Parma,Milan,1-1,A
2012-09-29,Juventus,Roma,4-1,A
2012-09-29,Verona,Bari,1-0,B
2012-09-29,Crotone,Livorno,1-2,B
2012-09-29,Empoli,Brescia,1-1,B
2012-09-29,Juve Stabia,Padova,1-0,B
2012-09-29,Sassuolo,Ascoli,1-0,B
2012-09-29,Spezia,Reggina,1-0,B
2012-09-29,Novara,Ternana,1-2,B
2012-09-29,Lanciano,Modena,1-1,B
2012-09-29,Vicenza,Grosseto,2-1,B
2012-09-30,Udinese,Genoa,0-0,A
2012-09-30,Sampdoria,Napoli,0-1,A
2012-09-30,Atalanta,Torino,1-5,A
2012-09-30,Cagliari,Pescara,1-2,A
2012-09-30,Inter,Fiorentina,2-1,A
2012-09-30,Lazio,Siena,2-1,A
2012-09-30,Bologna,Catania,4-0,A
2012-09-30,Palermo,Chievo,4-1,A
2012-10-11,Cagliari,Catania,0-0,A
2012-10-11,Pescara,Juventus,1-6,A
2012-10-11,Ternana,Verona,0-2,B
2012-10-11,Cesena,Brescia,1-3,B
2012-10-11,Ascoli,Livorno,1-4,B
2012-10-11,Pro Vercelli,Modena,1-2,B
2012-10-11,Juve Stabia,Lanciano,2-1,B
2012-10-11,Sassuolo,Novara,2-0,B
2012-10-11,Cittadella,Vicenza,2-2,B
2012-10-11,Varese,Padova,3-0,B
2012-10-11,Crotone,Empoli,3-2,B
2012-10-12,Bologna,Lazio,0-0,A
2012-10-12,Sampdoria,Udinese,0-2,A
2012-10-13,Juve Stabia,Bari,2-1,B
2012-10-13,Novara,Brescia,4-2,B
2012-10-14,Cesena,Crotone,0-0,B
2012-10-14,Vicenza,Padova,0-2,B
2012-10-14,Empoli,Ascoli,0-3,B
2012-10-14,Cittadella,Modena,0-3,B
2012-10-14,Spezia,Ternana,1-1,B
2012-10-14,Reggina,Livorno,1-3,B
2012-10-14,Lanciano,Pro Vercelli,1-1,B
2012-10-14,Verona,Grosseto,2-0,B
2012-10-14,Sassuolo,Varese,4-0,B
2012-10-19,Crotone,Novara,2-1,B
2012-10-20,Juventus,Napoli,2-0,A
2012-10-20,Lazio,Milan,3-2,A
2012-10-20,Modena,Grosseto,0-0,B
2012-10-20,Ternana,Vicenza,0-0,B
2012-10-20,Lanciano,Empoli,0-3,B
2012-10-20,Varese,Spezia,0-0,B
2012-10-20,Livorno,Verona,0-2,B
2012-10-20,Cesena,Reggina,1-1,B
2012-10-20,Pro Vercelli,Padova,1-2,B
2012-10-20,Cittadella,Sassuolo,1-0,B
2012-10-20,Ascoli,Juve Stabia,2-4,B
2012-10-21,Palermo,Torino,0-0,A
2012-10-21,Cagliari,Bologna,1-0,A
2012-10-21,Chievo,Fiorentina,1-1,A
2012-10-21,Udinese,Pescara,1-0,A
2012-10-21,Atalanta,Siena,2-1,A
2012-10-21,Genoa,Roma,2-4,A
2012-10-21,Inter,Catania,2-0,A
2012-10-21,Parma,Sampdoria,2-1,A
2012-10-22,Bari,Brescia,1-1,B
2012-10-26,Livorno,Cesena,1-0,B
2012-10-26,Sassuolo,Juve Stabia,1-0,B
2012-10-27,Siena,Palermo,0-0,A
2012-10-27,Milan,Genoa,1-0,A
2012-10-27,Vicenza,Crotone,0-0,B
2012-10-27,Spezia,Cittadella,0-3,B
2012-10-27,Grosseto,Ternana,1-1,B
2012-10-27,Novara,Varese,1-1,B
2012-10-27,Padova,Bari,1-1,B
2012-10-27,Brescia,Pro Vercelli,1-1,B
2012-10-27,Verona,Lanciano,2-0,B
2012-10-27,Reggina,Ascoli,2-0,B
2012-10-27,Empoli,Modena,4-2,B
2012-10-28,Catania,Juventus,0-1,A
2012-10-28,Pescara,Atalanta,0-0,A
2012-10-28,Sampdoria,Cagliari,0-1,A
2012-10-28,Bologna,Inter,1-3,A
2012-10-28,Napoli,Chievo,1-0,A
2012-10-28,Torino,Parma,1-3,A
2012-10-28,Fiorentina,Lazio,2-0,A
2012-10-28,Roma,Udinese,2-3,A
2012-10-30,Palermo,Milan,2-2,A
2012-10-30,Modena,Padova,0-0,B
2012-10-30,Varese,Vicenza,1-1,B
2012-10-30,Lanciano,Livorno,1-1,B
2012-10-30,Ternana,Sassuolo,1-3,B
2012-10-30,Pro Vercelli,Spezia,1-0,B
2012-10-30,Juve Stabia,Reggina,1-0,B
2012-10-30,Cittadella,Brescia,1-1,B
2012-10-30,Bari,Empoli,2-3,B
2012-10-30,Ascoli,Novara,2-0,B
2012-10-30,Crotone,Verona,3-3,B
2012-10-30,Cesena,Grosseto,3-2,B
2012-10-31,Lazio,Torino,1-1,A
2012-10-31,Atalanta,Napoli,1-0,A
2012-10-31,Udinese,Catania,2-2,A
2012-10-31,Chievo,Pescara,2-0,A
2012-10-31,Juventus,Bologna,2-1,A
2012-10-31,Parma,Roma,3-2,A
2012-10-31,Inter,Sampdoria,3-2,A
2012-10-31,Cagliari,Siena,4-2,A
2012-11-11,Parma,Siena,0-0,A
2012-11-11,Milan,Fiorentina,1-3,A
2012-11-11,Torino,Bologna,1-0,A
2012-11-11,Chievo,Udinese,2-2,A
2012-11-11,Genoa,Napoli,2-4,A
2012-11-11,Palermo,Sampdoria,2-0,A
2012-11-11,Lazio,Roma,3-2,A
2012-11-11,Atalanta,Inter,3-2,A
2012-11-16,Verona,Cesena,1-1,B
2012-11-17,Juventus,Lazio,0-0,A
2012-11-17,Napoli,Milan,2-2,A
2012-11-17,Pro Vercelli,Crotone,0-2,B
2012-11-17,Lanciano,Bari,0-3,B
2012-11-17,Reggina,Ternana,1-1,B
2012-11-17,Modena,Ascoli,1-1,B
2012-11-17,Spezia,Juve Stabia,2-3,B
2012-11-17,Livorno,Varese,2-0,B
2012-11-17,Vicenza,Novara,2-1,B
2012-11-17,Empoli,Grosseto,3-2,B
2012-11-17,Padova,Cittadella,3-1,B
2012-11-18,Siena,Pescara,1-0,A
2012-11-18,Catania,Chievo,2-1,A
2012-11-18,Inter,Cagliari,2-2,A
2012-11-18,Udinese,Parma,2-2,A
2012-11-18,Bologna,Palermo,3-0,A
2012-11-18,Sampdoria,Genoa,3-1,A
2012-11-18,Fiorentina,Atalanta,4-1,A
2012-11-18,Brescia,Sassuolo,1-1,B
2012-11-19,Roma,Torino,2-0,A
2012-11-23,Novara,Livorno,0-1,B
2012-11-24,Palermo,Catania,3-1,A
2012-11-24,Ascoli,Vicenza,0-0,B
2012-11-24,Crotone,Padova,0-1,B
2012-11-24,Cesena,Spezia,1-1,B
2012-11-24,Juve Stabia,Empoli,1-2,B
2012-11-24,Grosseto,Brescia,2-2,B
2012-11-24,Ternana,Lanciano,2-2,B
2012-11-24,Varese,Pro Vercelli,2-0,B
2012-11-24,Sassuolo,Reggina,3-1,B
2012-11-25,Atalanta,Genoa,0-1,A
2012-11-25,Chievo,Siena,0-0,A
2012-11-25,Pescara,Roma,0-1,A
2012-11-25,Milan,Juventus,1-0,A
2012-11-25,Sampdoria,Bologna,1-0,A
2012-11-25,Torino,Fiorentina,2-2,A
2012-11-25,Bari,Modena,2-0,B
2012-11-26,Cagliari,Napoli,0-1,A
2012-11-26,Parma,Inter,1-0,A
2012-11-27,Lazio,Udinese,3-0,A
2012-11-30,Catania,Milan,1-3,A
2012-12-11,Bari,Reggina,0-1,B
2012-12-12,Cittadella,Verona,2-1,B
2012-12-14,Livorno,Ternana,2-1,B
2012-12-15,Lazio,Inter,1-0,A
2012-12-15,Udinese,Palermo,1-1,A
2012-12-15,Pro Vercelli,Verona,0-0,B
2012-12-15,Lanciano,Spezia,1-1,B
2012-12-15,Padova,Sassuolo,1-3,B
2012-12-15,Bari,Novara,1-3,B
2012-12-15,Juve Stabia,Cesena,2-2,B
2012-12-15,Empoli,Vicenza,2-0,B
2012-12-15,Modena,Crotone,3-0,B
2012-12-16,Chievo,Roma,1-0,A
2012-12-16,Genoa,Torino,1-1,A
2012-12-16,Napoli,Bologna,2-3,A
2012-12-16,Catania,Sampdoria,3-1,A
2012-12-16,Juventus,Atalanta,3-0,A
2012-12-16,Fiorentina,Siena,4-1,A
2012-12-16,Parma,Cagliari,4-1,A
2012-12-16,Milan,Pescara,4-1,A
2012-12-17,Reggina,Cittadella,0-1,B
2012-12-17,Ascoli,Brescia,2-0,B
2012-12-21,Cagliari,Juventus,1-3,A
2012-12-21,Pescara,Catania,2-1,A
2012-12-22,Palermo,Fiorentina,0-3,A
2012-12-22,Sampdoria,Lazio,0-1,A
2012-12-22,Siena,Napoli,0-2,A
2012-12-22,Bologna,Parma,1-2,A
2012-12-22,Atalanta,Udinese,1-1,A
2012-12-22,Inter,Genoa,1-1,A
2012-12-22,Torino,Chievo,2-0,A
2012-12-22,Roma,Milan,4-2,A
2012-12-23,Cittadella,Empoli,0-0,B
2012-12-23,Brescia,Livorno,0-0,B
2012-12-23,Grosseto,Reggina,0-1,B
2012-12-23,Cesena,Bari,1-1,B
2012-12-23,Ternana,Ascoli,1-2,B
2012-12-23,Verona,Juve Stabia,1-0,B
2012-12-23,Crotone,Varese,1-0,B
2012-12-23,Novara,Pro Vercelli,2-0,B
2012-12-23,Spezia,Padova,2-3,B
2012-12-23,Sassuolo,Lanciano,2-0,B
2012-12-23,Vicenza,Modena,3-3,B
2012-12-26,Padova,Ternana,0-0,B
2012-12-26,Lanciano,Novara,1-0,B
2012-12-26,Pro Vercelli,Cesena,1-3,B
2012-12-26,Modena,Spezia,1-0,B
2012-12-26,Bari,Grosseto,1-0,B
2012-12-26,Empoli,Verona,1-1,B
2012-12-26,Reggina,Vicenza,1-0,B
2012-12-26,Livorno,Sassuolo,3-2,B
2012-12-26,Juve Stabia,Crotone,3-1,B
2012-12-26,Ascoli,Cittadella,4-1,B
2012-12-30,Reggina,Empoli,0-3,B
2012-12-30,Cittadella,Bari,1-1,B
2012-12-30,Ascoli,Varese,1-1,B
2012-12-30,Livorno,Juve Stabia,2-2,B
2012-12-30,Novara,Grosseto,2-0,B
2012-12-30,Vicenza,Spezia,2-3,B
2012-12-30,Lanciano,Padova,2-1,B
2012-12-30,Verona,Modena,3-1,B
2012-12-30,Ternana,Pro Vercelli,4-2,B
2012-12-30,Sassuolo,Cesena,5-0,B
2012-12-30,Brescia,Crotone,5-0,B
2013-01-02,Roma,Cagliari,2-4,A
2013-01-02,Reggina,Verona,1-1,B
2013-01-03,Napoli,Juventus,1-1,A
2013-01-09,Catania,Inter,0-3,A
2013-01-09,Sassuolo,Livorno,1-4,A
2013-01-09,Atalanta,Torino,2-0,A
2013-01-09,Genoa,Fiorentina,2-5,A
2013-01-09,Bologna,Sampdoria,2-2,A
2013-01-09,Roma,Verona,3-0,A
2013-01-09,Milan,Cagliari,3-1,A
2013-01-09,Udinese,Parma,3-1,A
2013-01-11,Trapani,Carpi,0-1,B
2013-01-11,Cesena,Ternana,1-1,B
2013-01-11,Modena,Lanciano,1-0,B
2013-01-11,Empoli,Bari,1-1,B
2013-01-11,Padova,Spezia,1-0,B
2013-01-11,Latina,Reggina,1-0,B
2013-01-11,Crotone,Novara,2-2,B
2013-01-11,Varese,Juve Stabia,2-2,B
2013-01-11,Pescara,Brescia,3-3,B
2013-01-12,Juventus,Udinese,1-0,A
2013-01-12,Catania,Milan,1-3,A
2013-01-12,Atalanta,Roma,1-1,A
2013-01-12,Inter,Sampdoria,1-1,A
2013-01-12,Cagliari,Sassuolo,2-2,A
2013-01-12,Chievo,Livorno,3-0,A
2013-01-13,Sampdoria,Milan,0-0,A
2013-01-13,Parma,Juventus,1-1,A
2013-01-13,Catania,Roma,1-0,A
2013-01-13,Lazio,Atalanta,2-0,A
2013-01-13,Cagliari,Genoa,2-1,A
2013-01-13,Udinese,Fiorentina,3-1,A
2013-01-13,Torino,Siena,3-2,A
2013-01-13,Napoli,Palermo,3-0,A
2013-01-19,Palermo,Lazio,2-2,A
2013-01-19,Juventus,Udinese,4-0,A
2013-01-19,Varese,Grosseto,4-0,B
2013-01-20,Genoa,Catania,0-2,A
2013-01-20,Pescara,Torino,0-2,A
2013-01-20,Siena,Sampdoria,1-0,A
2013-01-20,Chievo,Parma,1-1,A
2013-01-20,Fiorentina,Napoli,1-1,A
2013-01-20,Roma,Inter,1-1,A
2013-01-20,Atalanta,Cagliari,1-1,A
2013-01-20,Milan,Bologna,2-1,A
2013-01-22,Varese,Brescia,3-2,B
2013-01-25,Crotone,Sassuolo,2-1,B
2013-01-26,Lazio,Chievo,0-1,A
2013-01-26,Juventus,Genoa,1-1,A
2013-01-26,Bari,Ascoli,0-1,B
2013-01-26,Empoli,Novara,0-2,B
2013-01-26,Spezia,Verona,0-1,B
2013-01-26,Pro Vercelli,Reggina,0-0,B
2013-01-26,Padova,Livorno,0-0,B
2013-01-26,Varese,Lanciano,1-2,B
2013-01-26,Modena,Ternana,1-2,B
2013-01-26,Grosseto,Cittadella,3-1,B
2013-01-26,Cesena,Vicenza,3-1,B
2013-01-27,Atalanta,Milan,0-1,A
2013-01-27,Parma,Napoli,1-2,A
2013-01-27,Cagliari,Palermo,1-1,A
2013-01-27,Udinese,Siena,1-0,A
2013-01-27,Catania,Fiorentina,2-1,A
2013-01-27,Inter,Torino,2-2,A
2013-01-27,Bologna,Roma,3-3,A
2013-01-27,Sampdoria,Pescara,6-0,A
2013-01-28,Juve Stabia,Brescia,0-0,B
2013-02-02,Torino,Sampdoria,0-0,A
2013-02-02,Napoli,Catania,2-0,A
2013-02-02,Brescia,Spezia,0-0,B
2013-02-02,Novara,Cesena,0-1,B
2013-02-02,Ternana,Bari,0-0,B
2013-02-02,Grosseto,Padova,1-1,B
2013-02-02,Sassuolo,Empoli,1-1,B
2013-02-02,Vicenza,Juve Stabia,1-2,B
2013-02-02,Cittadella,Crotone,2-2,B
2013-02-02,Varese,Modena,2-0,B
2013-02-02,Livorno,Pro Vercelli,2-0,B
2013-02-03,Milan,Lazio,3-0,A
2013-02-03,Lanciano,Brescia,0-2,B
2013-02-03,Sassuolo,Grosseto,0-2,B
2013-02-03,Novara,Reggina,1-1,B
2013-02-03,Cittadella,Ternana,1-0,B
2013-02-03,Cesena,Modena,1-0,B
2013-02-03,Juve Stabia,Pro Vercelli,1-1,B
2013-02-03,Spezia,Livorno,1-2,B
2013-02-03,Empoli,Varese,3-1,B
2013-02-04,Crotone,Ascoli,1-0,B
2013-02-09,Trapani,Pescara,2-2,B
2013-02-11,Parma,Juventus,0-1,A
2013-02-11,Milan,Fiorentina,0-2,A
2013-02-11,Napoli,Catania,2-1,A
2013-02-11,Siena,Cittadella,1-1,B
2013-02-12,Lazio,Napoli,2-4,A
2013-02-12,Fiorentina,Verona,4-3,A
2013-02-12,Bari,Ternana,2-1,B
2013-02-15,Milan,Parma,2-1,A
2013-02-16,Chievo,Palermo,1-1,A
2013-02-16,Roma,Juventus,1-0,A
2013-02-16,Ascoli,Pro Vercelli,0-0,B
2013-02-16,Ternana,Empoli,0-0,B
2013-02-16,Bari,Crotone,0-0,B
2013-02-16,Brescia,Vicenza,0-1,B
2013-02-16,Cittadella,Cesena,1-1,B
2013-02-16,Varese,Juve Stabia,1-1,B
2013-02-16,Livorno,Modena,1-2,B
2013-02-16,Reggina,Padova,2-1,B
2013-02-16,Grosseto,Lanciano,2-2,B
2013-02-16,Sassuolo,Spezia,3-2,B
2013-02-17,Napoli,Sampdoria,0-0,A
2013-02-17,Pescara,Cagliari,0-2,A
2013-02-17,Catania,Bologna,1-0,A
2013-02-17,Genoa,Udinese,1-0,A
2013-02-17,Torino,Atalanta,2-1,A
2013-02-17,Fiorentina,Inter,4-1,A
2013-02-17,Novara,Verona,1-0,B
2013-02-18,Siena,Lazio,3-0,A
2013-02-22,Spezia,Novara,0-6,B
2013-02-22,Juve Stabia,Grosseto,2-1,B
2013-02-23,Palermo,Genoa,0-0,A
2013-02-23,Crotone,Ternana,0-1,B
2013-02-23,Vicenza,Sassuolo,0-1,B
2013-02-23,Cittadella,Livorno,0-2,B
2013-02-23,Empoli,Padova,1-1,B
2013-02-23,Verona,Varese,2-0,B
2013-02-23,Pro Vercelli,Bari,2-1,B
2013-02-23,Lanciano,Reggina,3-1,B
2013-02-24,Inter,Milan,1-1,A
2013-02-24,Parma,Catania,1-2,A
2013-02-24,Sampdoria,Chievo,2-0,A
2013-02-24,Atalanta,Roma,2-3,A
2013-02-24,Juventus,Siena,3-0,A
2013-02-24,Cagliari,Torino,4-3,A
2013-02-25,Udinese,Napoli,0-0,A
2013-02-25,Lazio,Pescara,2-0,A
2013-02-26,Bologna,Fiorentina,2-1,A
2013-02-26,Pro Vercelli,Cittadella,0-0,B
2013-02-26,Brescia,Empoli,0-3,B
2013-02-26,Ternana,Novara,1-1,B
2013-02-26,Livorno,Crotone,1-2,B
2013-02-26,Grosseto,Vicenza,1-2,B
2013-02-26,Padova,Juve Stabia,1-0,B
2013-02-26,Reggina,Spezia,1-1,B
2013-02-26,Ascoli,Sassuolo,2-4,B
2013-02-26,Modena,Lanciano,2-2,B
2013-02-27,Bari,Verona,0-2,B
2013-02-27,Varese,Cesena,3-2,B
2013-03-02,Chievo,Juventus,1-2,A
2013-03-02,Palermo,Atalanta,1-2,A
2013-03-02,Fiorentina,Parma,2-0,A
2013-03-02,Pescara,Bologna,2-3,A
2013-03-02,Milan,Udinese,2-1,A
2013-03-02,Genoa,Lazio,3-2,A
2013-03-02,Siena,Inter,3-1,A
2013-03-03,Siena,Atalanta,0-2,A
2013-03-03,Pescara,Udinese,0-1,A
2013-03-03,Torino,Palermo,0-0,A
2013-03-03,Sampdoria,Parma,1-0,A
2013-03-03,Fiorentina,Chievo,2-1,A
2013-03-03,Catania,Inter,2-3,A
2013-03-03,Roma,Genoa,3-1,A
2013-03-03,Bologna,Cagliari,3-0,A
2013-03-04,Sampdoria,Inter,0-2,A
2013-03-05,Verona,Pro Vercelli,3-1,B
2013-03-11,Lazio,Genoa,0-2,A
2013-03-11,Udinese,Inter,0-3,A
2013-03-11,Torino,Roma,1-1,A
2013-03-11,Livorno,Atalanta,1-0,A
2013-03-11,Verona,Cagliari,2-1,A
2013-03-11,Sampdoria,Sassuolo,3-4,A
2013-03-11,Avellino,Palermo,0-2,B
2013-03-15,Verona,Livorno,1-1,B
2013-03-15,Reggina,Cesena,1-2,B
2013-03-16,Bologna,Juventus,0-2,A
2013-03-16,Catania,Udinese,3-1,A
2013-03-16,Spezia,Varese,0-0,B
2013-03-16,Vicenza,Ternana,0-1,B
2013-03-16,Padova,Pro Vercelli,0-1,B
2013-03-16,Sassuolo,Cittadella,1-0,B
